annot1_idx,annot2_idx,Gof,label1,label2
1,10,50.052152645398,no label,unknown
2,1,100,unknown,unknown
3,1,100,bankssts,unknown
4,1,100,caudalanteriorcingulate,unknown
5,1,100,caudalmiddlefrontal,unknown
6,1,100,cuneus,unknown
7,1,66.6969147005445,entorhinal,unknown
8,1,100,fusiform,unknown
9,1,93.3172405031127,inferiorparietal,unknown
10,1,100,inferiortemporal,unknown
11,1,98.4195969972343,isthmuscingulate,unknown
12,1,100,lateraloccipital,unknown
13,1,100,lateralorbitofrontal,unknown
14,1,100,lingual,unknown
15,1,91.6698077647946,medialorbitofrontal,unknown
16,1,93.0817610062893,middletemporal,unknown
17,1,92.7094668117519,parahippocampal,unknown
18,1,100,paracentral,unknown
19,1,100,parsopercularis,unknown
20,1,100,parsorbitalis,unknown
21,1,91.0068426197458,parstriangularis,unknown
22,1,100,pericalcarine,unknown
23,1,100,postcentral,unknown
24,1,100,posteriorcingulate,unknown
25,1,100,precentral,unknown
26,1,97.5779967159278,precuneus,unknown
27,1,100,rostralanteriorcingulate,unknown
28,1,100,rostralmiddlefrontal,unknown
29,1,100,superiorfrontal,unknown
30,1,100,superiorparietal,unknown
31,1,98.8447256223353,superiortemporal,unknown
32,1,98.046511627907,supramarginal,unknown
33,1,100,frontalpole,unknown
34,1,75.8045292014303,temporalpole,unknown
35,1,100,transversetemporal,unknown
36,1,100,insula,unknown
37,10,99.5446265938069,bankssts,unknown
38,10,100,caudalanteriorcingulate,unknown
39,10,100,caudalmiddlefrontal,unknown
40,10,100,cuneus,unknown
41,10,59.0909090909091,entorhinal,unknown
42,10,100,fusiform,unknown
43,10,94.6775527077305,inferiorparietal,unknown
44,10,100,inferiortemporal,unknown
45,10,95.1842546063652,isthmuscingulate,unknown
46,10,100,lateraloccipital,unknown
47,10,98.8745980707396,lateralorbitofrontal,unknown
48,10,100,lingual,unknown
49,10,87.3259550160657,medialorbitofrontal,unknown
50,10,91.9122009096302,middletemporal,unknown
51,10,97.3019517795637,parahippocampal,unknown
52,10,100,paracentral,unknown
53,10,100,parsopercularis,unknown
54,10,100,parsorbitalis,unknown
55,10,91.890756302521,parstriangularis,unknown
56,10,100,pericalcarine,unknown
57,10,100,postcentral,unknown
58,10,100,posteriorcingulate,unknown
59,10,100,precentral,unknown
60,10,98.7586206896552,precuneus,unknown
61,10,100,rostralanteriorcingulate,unknown
62,10,100,rostralmiddlefrontal,unknown
63,10,100,superiorfrontal,unknown
64,10,100,superiorparietal,unknown
65,10,97.9033197437391,superiortemporal,unknown
66,10,100,supramarginal,unknown
67,10,100,frontalpole,unknown
68,10,100,temporalpole,unknown
69,10,100,transversetemporal,unknown
70,10,100,insula,unknown
